instance,class,n_customers,n_vehicles,bks_distance,method,makespan,total_co2_kg,total_distance,service_rate,n_served,workload_balance,battery_used_pct,runtime_s,gap_to_bks_pct
R109,R1,100,25,1194.7,TD-Split,178.0561,176.8747,3471.2193,1.0,100.0,64.9188,40.7477,0.002,-85.0962
R109,R1,100,25,1194.7,GAT-MARL,171.1434,341.0271,3863.8602,1.0,100.0,67.7854,0.0,1904.2269,-85.6748
R110,R1,100,25,1118.8,NNH,171.7011,212.5792,2486.0584,1.0,100.0,29.728,0.0,0.003,-84.6531
R110,R1,100,25,1118.8,CWS,258.3822,87.4515,886.8278,1.0,100.0,31.6618,0.0,0.004,-76.9054
R110,R1,100,25,1118.8,ALNS,195.003,103.298,1064.8175,1.0,100.0,80.8908,0.0,3.2704,-82.5703
R110,R1,100,25,1118.8,AM,171.4912,209.3482,2445.4166,1.0,100.0,30.3092,0.0,0.008,-84.6719
R110,R1,100,25,1118.8,POMO,171.4912,209.3482,2445.4166,1.0,100.0,30.3092,0.0,0.0585,-84.6719
R110,R1,100,25,1118.8,TD-Split,170.7786,166.9684,3356.224,1.0,100.0,61.6973,40.7477,0.0025,-84.7356
R110,R1,100,25,1118.8,GAT-MARL,174.2043,337.7433,3830.3163,1.0,100.0,63.9483,0.0,445.1147,-84.4294
R111,R1,100,25,1096.7,NNH,199.9387,204.9502,2391.3965,1.0,100.0,39.36,0.0,0.004,-81.7691
R111,R1,100,25,1096.7,CWS,285.6881,87.4515,886.8278,1.0,100.0,29.366,0.0,0.01,-73.9502
R111,R1,100,25,1096.7,ALNS,197.7623,102.1182,1043.2773,1.0,100.0,85.5219,0.0,3.0935,-81.9675
R111,R1,100,25,1096.7,AM,199.9387,207.7607,2421.84,1.0,100.0,40.3878,0.0,0.007,-81.7691
R111,R1,100,25,1096.7,POMO,198.7468,202.7636,2364.8576,1.0,100.0,37.416,0.0,0.058,-81.8777
R111,R1,100,25,1096.7,TD-Split,198.7468,165.8805,3343.3965,1.0,100.0,66.5177,40.7477,0.002,-81.8777
R111,R1,100,25,1096.7,GAT-MARL,200.7122,330.8393,3716.3237,1.0,100.0,72.8646,0.0,770.7357,-81.6985
R112,R1,100,25,982.1,NNH,134.2498,198.4331,2316.815,1.0,100.0,21.7651,0.0,0.003,-86.3303
R112,R1,100,25,982.1,CWS,218.3716,87.4515,886.8278,1.0,100.0,27.3585,0.0,0.004,-77.7648
R112,R1,100,25,982.1,ALNS,205.7725,91.7893,940.273,1.0,100.0,80.2283,0.0,3.5442,-79.0477
R112,R1,100,25,982.1,AM,133.9095,201.9203,2354.776,1.0,100.0,20.4852,0.0,0.008,-86.365
R112,R1,100,25,982.1,POMO,134.2498,198.0961,2313.0842,1.0,100.0,22.0342,0.0,0.0608,-86.3303
R112,R1,100,25,982.1,TD-Split,123.2576,165.2258,3338.1527,1.0,100.0,47.6424,40.7477,0.0019,-87.4496
R112,R1,100,25,982.1,GAT-MARL,179.7603,339.551,3788.3719,1.0,100.0,57.3384,0.0,228.6017,-81.6963
R201,R2,100,25,1252.4,NNH,880.4871,195.8001,2363.0715,0.93,93.0,185.8428,0.0,0.004,-29.696
R201,R2,100,25,1252.4,CWS,1430.2557,67.7248,706.4818,1.0,100.0,204.6565,0.0,0.004,14.2012
R201,R2,100,25,1252.4,ALNS,880.2353,96.4499,1088.0446,0.93,93.0,287.4785,0.0,10.0305,-29.7161
R201,R2,100,25,1252.4,AM,880.9764,202.7167,2445.885,0.93,93.0,183.4062,0.0,0.007,-29.6569
R201,R2,100,25,1252.4,POMO,869.8748,192.4174,2321.3934,0.93,93.0,178.4207,0.0,0.054,-30.5434
R201,R2,100,25,1252.4,TD-Split,869.7672,175.1557,3508.0849,0.97,97.0,324.4839,40.7477,0.002,-30.552
R201,R2,100,25,1252.4,GAT-MARL,859.1811,320.08,3832.3927,1.0,100.0,342.529,0.0,2770.6497,-31.3972
R202,R2,100,25,1191.7,NNH,879.9607,206.7005,2491.6483,1.0,100.0,211.4728,0.0,0.006,-26.1592
R202,R2,100,25,1191.7,CWS,1430.2557,67.7248,706.4818,1.0,100.0,204.6565,0.0,0.004,20.0181
R202,R2,100,25,1191.7,ALNS,879.7095,96.7977,1126.6198,1.0,100.0,363.1316,0.0,17.0322,-26.1803
R202,R2,100,25,1191.7,AM,879.9607,187.2855,2262.8487,0.92,92.0,191.504,0.0,0.007,-26.1592
R202,R2,100,25,1191.7,POMO,879.9607,185.0498,2235.2716,0.92,92.0,186.1738,0.0,0.0537,-26.1592
R202,R2,100,25,1191.7,TD-Split,879.9607,158.6117,3308.528,1.0,100.0,318.9346,40.7477,0.0021,-26.1592
R202,R2,100,25,1191.7,GAT-MARL,912.7732,334.6051,4016.7088,1.0,100.0,328.6646,0.0,2312.331,-23.4058
R203,R2,100,25,939.5,NNH,891.2483,197.2104,2380.9761,1.0,100.0,234.5924,0.0,0.0035,-5.1359
R203,R2,100,25,939.5,CWS,1430.2557,67.7248,706.4818,1.0,100.0,204.6565,0.0,0.0031,52.2358
R203,R2,100,25,939.5,ALNS,889.988,82.5034,900.8725,1.0,100.0,288.3357,0.0,18.1638,-5.27
R203,R2,100,25,939.5,AM,890.435,189.4656,2286.6666,1.0,100.0,252.401,0.0,0.0069,-5.2225
R203,R2,100,25,939.5,POMO,891.3315,190.0689,2294.3416,1.0,100.0,226.7757,0.0,0.0586,-5.127
R203,R2,100,25,939.5,TD-Split,880.2676,161.4719,3343.6756,1.0,100.0,324.2667,40.7477,0.002,-6.3047
R203,R2,100,25,939.5,GAT-MARL,880.8498,308.9385,3703.7332,1.0,100.0,326.891,0.0,436.6053,-6.2427
R204,R2,100,25,825.5,NNH,890.3158,190.9035,2305.8673,1.0,100.0,291.4534,0.0,0.003,7.8517
R204,R2,100,25,825.5,CWS,1387.1076,67.7248,706.4818,1.0,100.0,183.0824,0.0,0.004,68.0324
R204,R2,100,25,825.5,ALNS,979.2539,77.59,811.9864,1.0,100.0,256.9322,0.0,21.8877,18.6255
R204,R2,100,25,825.5,AM,890.0443,195.0644,2355.9377,1.0,100.0,293.287,0.0,0.0076,7.8188
R204,R2,100,25,825.5,POMO,890.8506,191.0843,2308.1756,1.0,100.0,279.9515,0.0,0.059,7.9165
R204,R2,100,25,825.5,TD-Split,879.9611,159.2336,3317.1003,1.0,100.0,272.5115,40.7477,0.0021,6.5973
R204,R2,100,25,825.5,GAT-MARL,869.5209,317.9402,3788.1621,1.0,100.0,268.9427,0.0,229.0835,5.3326
R205,R2,100,25,994.4,NNH,771.0561,209.9378,2535.0262,1.0,100.0,201.4091,0.0,0.0029,-22.4602
R205,R2,100,25,994.4,CWS,1348.2557,67.7248,706.4818,1.0,100.0,193.3752,0.0,0.004,35.5848
R205,R2,100,25,994.4,ALNS,810.5439,91.8502,1055.739,1.0,100.0,305.5699,0.0,22.3596,-18.4891
R205,R2,100,25,994.4,AM,771.3317,217.5323,2623.721,1.0,100.0,182.9751,0.0,0.008,-22.4324
R205,R2,100,25,994.4,POMO,771.0561,209.3323,2527.352,1.0,100.0,202.0981,0.0,0.0545,-22.4602
R205,R2,100,25,994.4,TD-Split,771.0561,173.5509,3489.6157,1.0,100.0,299.8594,40.7477,0.002,-22.4602
R205,R2,100,25,994.4,GAT-MARL,761.3716,316.009,3783.996,1.0,100.0,297.6903,0.0,1115.115,-23.4341
R206,R2,100,25,906.1,NNH,782.211,202.5494,2446.2501,1.0,100.0,224.1515,0.0,0.0032,-13.6728
R206,R2,100,25,906.1,CWS,1348.2557,67.7248,706.4818,1.0,100.0,193.8497,0.0,0.003,48.7977
R206,R2,100,25,906.1,ALNS,850.0567,91.0891,987.8941,1.0,100.0,240.4028,0.0,23.7718,-6.1851
R206,R2,100,25,906.1,AM,781.443,194.8981,2353.8024,1.0,100.0,220.2434,0.0,0.007,-13.7575
R206,R2,100,25,906.1,POMO,782.211,194.3276,2346.4665,1.0,100.0,220.5139,0.0,0.0547,-13.6728
R206,R2,100,25,906.1,TD-Split,770.9762,160.1313,3327.7416,1.0,100.0,286.6682,40.7477,0.0016,-14.9127
R206,R2,100,25,906.1,GAT-MARL,782.6607,309.9883,3701.4602,1.0,100.0,281.4469,0.0,456.3746,-13.6231
R207,R2,100,25,890.6,NNH,782.1228,198.0734,2392.537,1.0,100.0,226.505,0.0,0.003,-12.1802
R207,R2,100,25,890.6,CWS,1348.2557,67.7248,706.4818,1.0,100.0,218.1565,0.0,0.004,51.3873
R207,R2,100,25,890.6,ALNS,888.6161,87.8454,921.3273,1.0,100.0,231.9505,0.0,26.2031,-0.2228
R207,R2,100,25,890.6,AM,781.1134,190.1613,2297.022,1.0,100.0,236.0037,0.0,0.008,-12.2936
R207,R2,100,25,890.6,POMO,781.1134,185.053,2234.8311,1.0,100.0,229.1938,0.0,0.057,-12.2936
R207,R2,100,25,890.6,TD-Split,771.2676,160.6267,3334.2121,1.0,100.0,285.9383,40.7477,0.001,-13.3991
R207,R2,100,25,890.6,GAT-MARL,865.6725,319.2215,3814.5406,1.0,100.0,280.8024,0.0,252.0503,-2.799
R208,R2,100,25,726.8,NNH,781.3158,189.4851,2288.7902,1.0,100.0,264.4998,0.0,0.003,7.5008
R208,R2,100,25,726.8,CWS,1314.1076,67.7248,706.4818,1.0,100.0,201.0824,0.0,0.004,80.8073
R208,R2,100,25,726.8,ALNS,861.9756,69.4356,725.0141,1.0,100.0,228.4561,0.0,23.5926,18.5987
R208,R2,100,25,726.8,AM,781.1651,193.3579,2335.7853,1.0,100.0,267.2347,0.0,0.007,7.4801
R208,R2,100,25,726.8,POMO,781.3158,188.8005,2280.4216,1.0,100.0,264.4989,0.0,0.0605,7.5008
R208,R2,100,25,726.8,TD-Split,770.9611,159.2336,3317.1003,1.0,100.0,240.9687,40.7477,0.001,6.0761
R208,R2,100,25,726.8,GAT-MARL,891.3055,329.2447,3924.6561,1.0,100.0,250.5943,0.0,232.8447,22.6342
R209,R2,100,25,909.2,NNH,715.3233,202.7164,2448.8148,1.0,100.0,162.3838,0.0,0.003,-21.3239
R209,R2,100,25,909.2,CWS,1254.0444,67.7248,706.4818,1.0,100.0,157.2696,0.0,0.01,37.9283
R209,R2,100,25,909.2,ALNS,724.7299,74.9399,859.4138,1.0,100.0,272.2308,0.0,20.3037,-20.2893
R209,R2,100,25,909.2,AM,715.6435,200.9257,2427.1489,1.0,100.0,154.3194,0.0,0.007,-21.2887
R209,R2,100,25,909.2,POMO,715.3233,192.4886,2324.7356,1.0,100.0,161.173,0.0,0.0545,-21.3239
R209,R2,100,25,909.2,TD-Split,704.5561,167.549,3417.6472,1.0,100.0,255.4568,40.7477,0.002,-22.5081
R209,R2,100,25,909.2,GAT-MARL,759.7033,317.5437,3802.138,1.0,100.0,263.6691,0.0,362.0843,-16.4427
R210,R2,100,25,939.4,NNH,896.4952,199.9126,2413.7762,1.0,100.0,214.5968,0.0,0.003,-4.5673
R210,R2,100,25,939.4,CWS,1410.1076,67.7248,706.4818,1.0,100.0,192.0824,0.0,0.0041,50.1073
R210,R2,100,25,939.4,ALNS,872.0564,88.4707,991.728,1.0,100.0,315.7414,0.0,18.1016,-7.1688
R210,R2,100,25,939.4,AM,885.3369,199.6198,2410.6142,1.0,100.0,205.3381,0.0,0.0069,-5.7551
R210,R2,100,25,939.4,POMO,896.4952,197.2884,2381.8226,1.0,100.0,217.616,0.0,0.0561,-4.5673
R210,R2,100,25,939.4,TD-Split,885.8437,162.4574,3355.7875,1.0,100.0,294.9119,40.7477,0.001,-5.7011
R210,R2,100,25,939.4,GAT-MARL,864.1811,312.1601,3729.5017,1.0,100.0,294.193,0.0,1055.6647,-8.0071
R211,R2,100,25,892.7,NNH,520.2351,191.855,2316.815,1.0,100.0,132.6476,0.0,0.007,-41.7234
R211,R2,100,25,892.7,CWS,1111.4237,67.7248,706.4818,1.0,100.0,178.4592,0.0,0.004,24.5014
